BA06,SANT PERE DE TORELLÓ,42.10176,2.29375
BA07,BAGÀ,42.2601,1.76598
BA08,BAGÀ,42.30364,1.92241
BA09,TERRASSA,41.6704,1.99479
BA10,CALDES DE MONTBUÍ (larga),41.66422,2.13302
BA11,CASTELLDEFELS,41.29209,1.91054
BA12,MONISTROL,41.59261,1.83675
BA13,LA POBLA DE LILLET,42.3015,1.9924
BA14,CENTRAL TÉRMICA DE CERCS,42.16625,1.76725
BA15,MONTSENY,41.8011,2.34738
BA16,GUARDIOLA DE BERGUEDÁ,42.20114,1.76982
BA17,"C-16, DIRECCIÓN MALANYEU",42.18086,1.88692
BA18,L'ESPUNYOLA,42.07411,1.71007
BA19,TAGAMANENT,41.74697,2.30337
BD01,FERIA,38.51296,-6.56772
BD02,RÍO ARDILLA,38.05444,-6.33801
BU01,SALAS DE BUREBA,42.75401,-3.6118
BU02,AÑES,43.02445,-3.1918
BU03,VILLAVELAYO,42.04625,-3.04281
BU04,VALDENOCEDA,42.81554,-3.61837
BU05,PESQUERA DE EBRO,42.79746,-3.67513
BU06,POZA DE LA SAL,42.66918,-3.5344
BU07,FRÍAS,42.69023,-3.2663
BU08,LAS MACHORRAS,43.1711,-3.6548
BU09,ESPINOSA DE LOS MONTEROS,43.13018,-3.54624
BU10,LAS MACHORRAS,43.15291,-3.57311
BU10e,LAS MACHORRAS,43.10469,-3.64943
BU11,VALMALA,42.27139,-3.257
CA01,HERAS,43.37844,-3.77906
CA02,PUENTENANSA,43.0415,-4.45796
CA03,POTES,43.06699,-4.76603
CA04,FRESNEDA,43.0635,-4.23233
CA05,VEGA DE PAS,43.11804,-3.70304
CA06,LA CAVADA,43.29957,-3.65109
CA07,RAMALES DE LA VICTORIA,43.1516,-3.4416
CA08,ARREDONDO,43.15291,-3.57311
CA09,COTERILLO,43.27014,-3.76309
CA10,SELAYA,43.17743,-3.79729
CA11,LIÉRGANES,43.1711,-3.6548
CA12,SELAYA,43.22228,-3.7315
CA13,LA HERMIDA,43.23875,-4.66281
CA14,LOS PANDOS,43.04804,-3.87921
CA15,ESPINILLA,43.04532,-4.39458
CA16,LA HERMIDA,43.24591,-4.54182
CA17,LA FLORIDA,43.29568,-4.4125
CA17e,GURIEZO,43.31247,-3.35871
CA18,BUSTABLADO,43.25489,-3.6665
CA19,VILLASUSO DE CIEZA,43.20527,-4.14882
CC01,VILLAR DE PLASENCIA,40.12538,-6.00037
CC02,GARGANTA LA OLLA,40.1246,-5.81651
CC03,JERTE,40.27288,-5.66234
CC04,EX-382,39.21497,-6.12458
CC05,PINOFRANQUEADO,40.39962,-6.39753
CC06,ZARZA DE MONTÁNCHEZ,39.21514,-6.03772
CC07,RIVERA DEL ACEBO,40.24686,-6.68784
CC08,NUÑOMORAL,40.45231,-6.29503
CC09,LAS ACEBADILLAS,39.46939,-5.40192
CC10,VALLE DEL JERTE,40.22186,-5.87166
CC11,NAVATRASIERRA,39.5741,-5.35035
CC12,BAÑOS DE MONTEMAYOR,40.33151,-5.79491
CD01,ZAHARA DE LA SIERRA,36.78762,-5.37676
CD02,ENSENADA DE BOLONIA,36.11156,-5.78013
CD03,JIMENA DE LA FRONTERA,36.55945,-5.60116
CD04,LA LÍNEA DE LA CONCEPCIÓN,36.12405,-5.34309
CD05,MEDINA SIDONIA,36.456455,-5.924987
CD06,UBRIQUE,36.70516,-5.37297
CD07,EL CUERVO,36.83264,-5.95574
CD08,EL BOSQUE,36.75564,-5.3948
CD09,UBRIQUE,36.61813,-5.43283
CD10,SUR,36.4781,-5.59956
CE01,"N-354 (PK. 2,1)",35.89286,-5.3641
CO01,LUCENA,37.3761,-4.4672
CO02,RÍO GUADIATO,37.94305,-4.93607
CO03,CABRA,37.48692,-4.37986
CO04,RÍO GUADIATO,37.96399,-4.9716
CO05,CV-119,37.90694,-4.85853
CO06,ZUHEROS,37.54071,-4.30515
CO07,RÍO CUZNA,38.15089,-4.70942
CO08,SOLERCHE,37.30494,-4.28187
CR01,GARGANTA DEL MONTORO,38.4759,-3.77852
CR02,PRESA DE MONTORO,38.47983,-4.09726
CR03,CR-1342,39.3076,-3.41717
CR04,RÍO GUADIANA,39.12184,-4.56512
CR05,RÍO ROBLEDILLO,38.47298,-4.06866
CR06,RÍO ROBLEDILLO,38.40788,-4.06986
CR07,VILLARRUBIA DE LOS OJOS,39.2777,-3.63264
CR08,ARROYO DE LA VILLA,38.77455,-4.86809
CS01,LA SÉNIA,40.69416,0.16626
CS02,ROSSELL,40.62349,0.16249
CS03,BENICÀSSIM,40.08534,0.03121
CS04,ATZENETA DEL MAESTRAT,40.2933,-0.2893
CS05,BENLLOCH,40.27579,-0.03249
CS06,TORRE D'EN DOMENECH,40.3234,0.02987
CS07,HERBÉS,40.67077,-0.05847
CS08,LUCENA DE CID,40.17409,-0.30445
CS09,ATZENETA DEL MAESTRAT,40.26236,-0.28083
CS10,ESLIDA,39.87231,-0.32466
CS11,FIGUEROLES,40.14143,-0.35049
CS12,PUENTE RÍO CARBÓ (VILLAHERMOSA),40.26484,-0.46242
CS13,ATZENETA,40.29045,-0.23621
CS14,ALMEDÍJAR,39.89028,-0.35927
CS15,VALLIBONA,40.58069,0.02701
CS16,ALCOSSEBRE,40.26139,0.26712
CS17,ARGELITA,40.09158,-0.3206
CS18,ALTURA,39.82838,-0.62234
CS19,EL TORO,39.89263,-0.80796
e,,,
EL,JUNTAS DE MILLER,38.21037,-2.42878
GI01,MADREMANYA,41.98443,2.90923
GI02,ARBÚCIES,41.86665,2.46377
GI03,CARRETERA DE PUJARNOL,42.07172,2.68641
GI04,ALP,42.335,1.8875
GI05,VALL D'EN BAS,42.10848,2.37661
GI06,OLOT,42.19718,2.34596
GI07,RIBES DE FRESSER,42.33848,2.12133
GI08,VALL DE BIANYA,42.25659,2.39785
GI09,PUIGCERDÀ,42.33609,1.9911
GI10,SANT PRIVAT D'EN BAS,42.15494,2.33987
GI11,SETCASES,42.42698,2.26555
GI12,HOSTALETS D'EN BAS,42.02161,2.53646
GI13,BESALÚ / BEUDA,42.2584,2.70791
GI14,PORT DE LA SELVA,42.32565,3.16108
GI15,RIERA SALIONÇ (GI-682),41.76379,2.93867
GI16,RIBES DE FRESSER,42.26978,2.20806
GP01,OÑATI,42.97969,-2.40162
GP02,ZEGAMA,42.93071,-2.27282
GP03,BEASAÍN,43.06589,-2.204
GP04,IRÚN,43.29231,-1.77867
GP05,AZPEITIA,43.15042,-2.18957
GP06,BERGARA,43.12839,-2.37693
GP07,SORALUZE (PLACENCIA DE LAS ARMAS),43.1929,-2.41509
GP08,EIBAR,43.20541,-2.44693
GP09,ZESTOA,43.2089,-2.32154
GP10,OIARTZUN,43.24523,-1.81253
GP11,HONDARRIBIA,43.35041,-1.85192
GP12,AZKOITIA,43.14028,-2.30437
GP13,NUARBE,43.12252,-2.18326
GR01,GUÁJAR / FARAGÜIT,36.87197,-3.5387
GR02,SANTIAGO DE LA ESPADA,38.00102,-2.59104
GR03,CHAPARRAL,37.25999,-3.53001
GR04,MONACHIL,37.13647,-3.47334
GR05,LA ZUBIA,37.09589,-3.5426
GR06,MOLINO DEL REY,37.32565,-3.90455
