1,Andalucia
2,Andorra
3,Aragon
4,Asturias
5,Islas Baleares
6,Islas Canarias
7,Cantabria
8,Castilla la mancha
9,Castilla y leon
10,Cataluña
11,Ceuta
12,Euskadi
13,Extremadura
14,Galicia
15,La Rioja
16,Comunidad de Madrid
17,Región de Murcia
18,Navarra
19,Portugal
20,Comunidad Valenciana
