ML03,Jimera de Líbar,1006,614,14.2,4.3,8,111
ML03,Río Genal/Faraján,1074,709,14.16,5,22,154
ML04,Periana (Sur) ,1085,880,19.04,4.6,12,162
ML05,El Burgo,1073,509,13.45,3.8,12,108
ML06,Estación de Colmenar,700,483,18.09,2.7,12,135
ML08,Gaucín,883,794,13.93,5.71,21,170
ML08,Río Guadiaro,883,533,9.6,5.55,21,80
ML08,Algatocín,883,652,10.25,6.4,21,136
ML09,Villanueva de la Concepción,1223,805,10.88,7.4,15,208
ML09,Antequera,1223,713,15.52,4.3,17,158
ML10,Málaga,940,905,16.3,5.55,10,153
ML10,Olías,940,921,20.4,4.51,15,182
ML10,Totalán,940,930,23.1,4.02,,
ML11,Desfiladero de los Gaitanes,605,403,7.31,5.5,15,89
ML12,Río de la Miel,724,677,11.1,6.1,19,163
ML13,Río Genal/Pujerra,1056,550,19.54,2.8,17,129
ML13,San Pedro de Alcántara,1056,1000,21.2,4.72,10,151
ML14,Puente de D. Manuel,919,714,12.13,5.9,11,120
ML15,Benalmádena,952,933,14.2,6.57,13,266
ML15,Fuengirola,952,945,14.5,6.6,15,251
ML16,Río de la Cueva,795,562,7.3,7.83,16,167
ML17,Estepona,1278,1276,20.2,6.61,14,300
ML17,Jubrique,1278,1043,27,3.8,17,212
ML18,Comares,1010,857,16,5.3,19,216
SV01,Constantina,854,352,10.22,3.4,13,50
SV02,Río Viar,324,275,4.96,5.5,9,46
SV04,Algámitas,776,401,7.03,5.7,23,100
SV05,El Rubio/Marinaleda,841,604,12.69,4.8,20,141
AN01,Ordino,2225,930,17.4,5.3,15,177
AN02,Aixovall/Bixessarri,1910,975,11.8,8.2,18,269
AN03,Andorra la Vella,1905,878,14.3,6.1,13,194
AN04,Andorra la Vella,1362,356,4.6,7.74,11,85
AN05,Andorra la Vella,2069,1053,15.25,6.9,14,244
AN06,Escaldes/Engordany,1639,513,6.1,8.4,15,135
AN07,Aixirivall,2032,1122,17.8,6.3,14,243
AN07,Juberri,2032,1122,17.3,6.48,13,245
AN08,Ordino,1980,676,9.8,6.9,12,135
AN08,Canillo,1980,423,8.89,4.14,,79
AN09,Andorra la Vella,2407,1377,27.6,4.98,11,204
AN10,Aixovall,1724,730,9.5,7.7,17,192
AN11,Andorra la Vella,2301,1271,23.6,5.39,12,243
AN12,Andorra la Vella/Anyós,1795,765,12.5,6.12,12,150
HU01,Hospital de Tella,1345,675,8,8.4,10,181
HU02,Bono,2193,1147,17.2,6.6,14,239
HU03,Boltaña,1289,698,13.4,5.14,10,117
HU04,Cañón de Añisclo,1383,783,23.3,3.36,12,119
HU04,Sarvisé,1383,519,11,4.72,,
HU05,Aragües del Puerto,1505,616,12.13,5.08,11,112
HU07,Santa Cruz de la Serós,1212,517,12.3,4.2,13,101
HU08,Valle de Hecho,1388,474,6.8,6.97,13,97
HU09,A-2609 - Sin ,1320,430,5.1,8.43,16,124
HU10,Arguis,1600,620,10.4,6,10,
HU10,Belsué,1600,650,10.1,6.43,10,
HU11,Benasque,1915,775,15.4,5.03,14,129
HU12,Biescas,1423,553,13.8,4.01,10,106
HU12,Broto,1423,518,12.75,4.06,10,92
HU13,Benasque,1912,770,13.72,5.61,14,166
HU14,Biescas,1794,929,27.2,3.42,10,152
HU15,Villanúa,1632,682,16.2,4.21,10,118
HU16,Panticosa,1643,523,10.7,4.88,12,100
HU17,Escalona,1242,642,12,5.35,8,130
TE01,Virgen de la Vega,1973,599,10.2,5.87,12,126
TE01,Linares de Mora,1973,733,20.5,3.58,12,121
TE02,Noguera,1700,373,6.2,6.02,12,70
TE03,La Puebla Valverde,1850,740,22.2,3.33,10,119
TE03,Valacloche/Collado Gavilán,1850,865,23.2,3.72,12,134
TE03,Valacloche/Directa,1850,865,21.2,4.08,12,134
TE04,Orihuela de Tremedal,1760,335,4.9,6.84,13,68
TE06,Puente río Guadalope,1261,426,8.2,5.2,12,76
TE07,Olba,1004,390,7.2,5.4,11,70
TE08,Aliaga,1450,474,12.2,3.88,10,80
TE08,Ejulve,1450,376,7,5.37,9,61
TE09,Puente río Pitarque,1657,792,26.1,3.03,12,138
TE10,Villar del Cobo,1796,372,8.64,4.31,14,67
TE11,Rio Martin,1408,524,12,4.3,9,85
TE12,Villar del Cobo,1774,350,10.46,3.35,15,68
TE13,Teruel,1600,720,18,4,10,84
TE14,Puente río Pitarque,1482,617,8.9,6.93,19,172
TE15,Fortanete,1812,464,6.4,7.25,16,116
ZA01,Murero,1208,507,13.25,3.83,11,75
ZA02,Purujosa,1395,440,8.1,5.43,10,74
ZA03,Cariñena,1275,685,14.37,4.8,18,158
ZA03,Codos,1275,525,8.5,6.2,18,128
ZA04,Morés,908,466,9.28,5,11,77
ZA05,Tarazona,1565,1085,24.4,4.45,10,152
ZA05,Vozmediano,1565,730,16.5,4.44,12,
ZA05,Monast. Veruela ,1565,906,24.6,3.68,,135
ZA06,Sos del Rey Católico ,846,346,8.33,4.15,8,51
ZA07,Morata de Jiloca ,1193,581,20.8,2.79,,110
ZA09,Daroca,1185,430,9.2,4.7,10,75
