BU10,1,2,3,6,10,17,44,53,54,62,69,87,142,195,253,273,305,380,413,435,463,471,499,511,537,573,608,654,665,855,935,942,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU06,2,29,30,39,42,43,44,53,54,55,69,75,152,196,207,209,216,225,238,243,253,259,261,320,386,492,499,674,717,748,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZM02,1,2,3,6,10,16,17,29,35,37,44,49,54,62,69,75,87,101,128,131,259,273,342,394,399,410,428,442,461,547,674,756,838,842,855,946,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE06,1,2,5,16,17,25,37,40,42,54,62,69,87,91,100,200,225,253,259,266,273,391,394,399,436,469,473,484,513,573,674,717,756,842,855,861,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA17,1,2,3,6,10,17,22,40,44,52,53,54,62,69,75,86,87,107,152,188,195,211,222,236,253,259,273,305,307,315,380,383,400,413,419,434,460,463,477,484,494,511,521,522,537,541,605,608,628,632,654,674,682,722,726,755,756,779,790,797,809,842,845,855,894,925,931,942,962,975,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR20,2,8,16,35,39,46,53,54,69,75,118,121,152,209,225,226,237,253,261,265,266,272,331,355,359,391,428,476,557,573,636,696,760,803,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,2,3,5,7,8,11,12,13,16,23,29,30,35,37,40,44,48,50,53,54,58,62,64,72,73,75,87,91,92,100,101,107,117,127,128,131,137,144,153,155,160,175,181,195,200,221,223,225,239,253,257,259,272,273,287,338,359,362,364,372,380,386,391,398,399,410,413,419,428,432,436,439,443,444,448,451,471,479,499,502,514,515,522,527,534,537,573,618,630,632,636,649,660,664,665,674,684,702,716,727,728,739,746,762,764,778,820,855,858,875,887,889,899,928,935,952,960,991,1022
AB05,2,5,10,13,29,30,37,39,44,53,54,69,100,101,196,207,222,253,259,265,315,386,391,401,414,432,492,499,674,719,720,724,832,837,855,885,889,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR01,2,12,13,29,30,40,42,44,54,75,101,128,164,253,259,380,386,414,484,674,684,717,762,855,889,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA06,2,5,13,37,44,47,53,54,70,71,96,100,109,119,131,150,153,206,222,241,243,253,259,266,315,316,325,328,333,386,396,414,432,436,469,473,475,491,499,519,573,580,618,674,732,782,791,798,885,889,914,935,948,975,1007,1112,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE10,2,5,13,17,30,37,40,42,44,53,54,62,69,75,100,101,124,128,131,150,152,159,189,206,222,225,243,253,259,266,315,316,328,386,391,414,419,434,436,444,448,455,469,471,473,482,484,499,573,575,608,613,674,717,764,766,770,855,887,889,899,914,941,975,1034,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
